,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-06-08 08:00:00,08:00:00,08:00:56,10427,10982,2109.5,59,2109.75,61,2109.5,2109.75,2109.25,2109.75,293,-37,2109.5,130,2109.75,39
2016-06-08 08:01:00,08:01:04,08:01:56,11009,11204,2109.5,134,2109.75,37,2109.75,2109.75,2109.5,2109.75,56,-14,2109.5,90,2109.75,56
2016-06-08 08:02:00,08:02:00,08:02:50,11208,11322,2109.5,91,2109.75,58,2109.5,2109.75,2109.5,2109.5,52,-4,2109.5,88,2109.75,50
2016-06-08 08:03:00,08:03:03,08:03:44,11380,11673,2109.5,77,2109.75,64,2109.5,2109.5,2109.25,2109.25,163,-87,2109.25,155,2109.5,50
2016-06-08 08:04:00,08:04:02,08:04:59,11721,11860,2109.25,155,2109.5,56,2109.25,2109.5,2109.25,2109.5,15,9,2109.25,164,2109.5,75
2016-06-08 08:05:00,08:05:00,08:05:58,11870,12117,2109.25,165,2109.5,70,2109.5,2109.5,2109.25,2109.25,166,-150,2109.0,173,2109.25,36
2016-06-08 08:06:00,08:06:00,08:06:50,12125,12656,2109.0,175,2109.25,49,2109.0,2109.25,2109.0,2109.0,372,-226,2109.0,27,2109.25,57
2016-06-08 08:07:00,08:07:00,08:07:49,12683,12791,2109.0,44,2109.25,61,2109.25,2109.25,2109.0,2109.25,32,-14,2109.0,45,2109.25,62
2016-06-08 08:08:00,08:08:12,08:08:57,12858,13215,2109.0,48,2109.25,69,2109.25,2109.25,2108.75,2108.75,133,-77,2108.75,29,2109.0,81
2016-06-08 08:09:00,08:09:00,08:09:58,13254,13440,2108.75,66,2109.0,80,2109.0,2109.0,2108.75,2108.75,58,4,2108.75,38,2109.0,103
2016-06-08 08:10:00,08:10:00,08:10:55,13448,13761,2108.75,46,2109.0,102,2108.75,2109.0,2108.75,2108.75,105,-73,2108.75,43,2109.0,60
2016-06-08 08:11:00,08:11:01,08:11:55,13780,13875,2108.75,42,2109.0,69,2108.75,2109.0,2108.75,2109.0,27,-13,2108.75,62,2109.0,61
2016-06-08 08:12:00,08:12:04,08:12:59,13883,14101,2108.75,61,2109.0,68,2108.75,2109.0,2108.75,2108.75,108,-36,2108.75,12,2109.0,77
2016-06-08 08:13:00,08:13:01,08:13:59,14105,14362,2108.75,14,2109.0,75,2108.75,2109.0,2108.5,2109.0,160,-6,2108.75,53,2109.0,58
2016-06-08 08:14:00,08:14:01,08:14:54,14378,14641,2108.75,59,2109.0,48,2108.75,2109.25,2108.75,2109.25,124,22,2109.0,65,2109.25,45
2016-06-08 08:15:00,08:15:21,08:15:57,14674,14739,2109.0,59,2109.25,75,2109.25,2109.25,2109.0,2109.25,21,-11,2109.0,44,2109.25,74
2016-06-08 08:16:00,08:16:02,08:16:53,14742,14884,2109.0,44,2109.25,74,2109.0,2109.0,2108.75,2108.75,35,-31,2108.75,68,2109.0,63
2016-06-08 08:17:00,08:17:00,08:17:59,14895,15056,2108.75,62,2109.0,67,2108.75,2109.0,2108.75,2109.0,86,52,2108.75,72,2109.0,48
2016-06-08 08:18:00,08:18:08,08:18:52,15070,15296,2108.75,73,2109.0,40,2108.75,2109.25,2108.75,2109.25,60,-16,2109.0,23,2109.25,87
2016-06-08 08:19:00,08:19:20,08:19:32,15324,15418,2109.0,37,2109.25,90,2109.25,2109.25,2108.75,2108.75,80,-28,2108.75,61,2109.0,71
2016-06-08 08:20:00,08:20:11,08:20:59,15438,15615,2108.75,65,2109.0,85,2109.0,2109.0,2108.5,2108.75,107,-35,2108.5,162,2108.75,84
2016-06-08 08:21:00,08:21:00,08:21:59,15621,16027,2108.5,163,2108.75,84,2108.5,2108.75,2108.5,2108.5,270,-52,2108.5,48,2108.75,57
2016-06-08 08:22:00,08:22:00,08:22:57,16031,16298,2108.5,48,2108.75,58,2108.75,2108.75,2108.25,2108.75,215,-67,2108.5,46,2108.75,45
2016-06-08 08:23:00,08:23:04,08:23:56,16308,16539,2108.5,49,2108.75,53,2108.5,2108.75,2108.5,2108.75,79,-39,2108.5,36,2108.75,57
2016-06-08 08:24:00,08:24:01,08:24:48,16548,16594,2108.5,39,2108.75,58,2108.5,2108.75,2108.5,2108.5,14,-4,2108.5,50,2108.75,65
2016-06-08 08:25:00,08:25:03,08:25:46,16604,16832,2108.5,57,2108.75,66,2108.5,2108.5,2108.0,2108.25,341,-273,2108.0,205,2108.25,75
2016-06-08 08:26:00,08:26:00,08:26:59,16846,17178,2108.0,191,2108.25,80,2108.25,2108.5,2108.0,2108.5,268,262,2108.25,36,2108.5,74
2016-06-08 08:27:00,08:27:00,08:27:56,17183,17340,2108.25,39,2108.5,73,2108.25,2108.5,2108.25,2108.5,24,18,2108.25,77,2108.5,66
2016-06-08 08:28:00,08:28:06,08:28:42,17370,17494,2108.25,90,2108.5,57,2108.5,2108.5,2108.25,2108.5,111,109,2108.25,94,2108.5,44
2016-06-08 08:29:00,08:29:10,08:29:55,17517,17672,2108.25,103,2108.5,47,2108.5,2108.5,2108.25,2108.5,153,-121,2108.25,47,2108.5,50
2016-06-08 08:30:00,08:30:00,08:30:52,17683,17857,2108.25,55,2108.5,50,2108.25,2108.5,2108.25,2108.5,39,19,2108.5,10,2108.75,77
2016-06-08 08:31:00,08:31:10,08:31:56,17951,18084,2108.5,40,2108.75,67,2108.5,2108.75,2108.5,2108.75,19,1,2108.5,62,2108.75,63
2016-06-08 08:32:00,08:32:03,08:32:50,18097,18227,2108.5,67,2108.75,63,2108.75,2108.75,2108.5,2108.5,98,-64,2108.25,71,2108.5,69
2016-06-08 08:33:00,08:33:01,08:33:58,18256,18608,2108.25,109,2108.5,55,2108.5,2109.0,2108.5,2109.0,199,131,2108.75,13,2109.0,58
2016-06-08 08:34:00,08:34:05,08:34:45,18653,19014,2108.75,55,2109.0,68,2109.0,2109.0,2109.0,2109.0,151,27,2108.75,69,2109.0,45
2016-06-08 08:35:00,08:35:00,08:35:53,19043,19244,2108.75,62,2109.0,87,2109.0,2109.25,2108.75,2109.25,73,69,2109.0,118,2109.25,77
2016-06-08 08:36:00,08:36:10,08:36:51,19253,19368,2109.0,118,2109.25,71,2109.25,2109.25,2109.0,2109.25,33,25,2109.0,114,2109.25,74
2016-06-08 08:37:00,08:37:17,08:37:44,19376,19402,2109.0,116,2109.25,79,2109.0,2109.25,2109.0,2109.25,12,4,2109.0,116,2109.25,88
2016-06-08 08:38:00,08:38:01,08:38:51,19408,19803,2109.0,117,2109.25,89,2109.25,2109.5,2109.0,2109.5,231,79,2109.25,85,2109.5,104
2016-06-08 08:39:00,08:39:05,08:39:51,19821,19917,2109.25,88,2109.5,109,2109.5,2109.5,2109.25,2109.5,43,23,2109.25,40,2109.5,110
2016-06-08 08:40:00,08:40:00,08:40:54,19924,20243,2109.25,36,2109.5,112,2109.25,2109.5,2109.0,2109.25,128,-56,2109.25,10,2109.5,99
2016-06-08 08:41:00,08:41:02,08:41:49,20273,20403,2109.25,49,2109.5,90,2109.25,2109.5,2109.25,2109.25,47,33,2109.25,57,2109.5,81
2016-06-08 08:42:00,08:42:05,08:42:53,20417,20566,2109.25,60,2109.5,84,2109.5,2109.5,2109.25,2109.5,107,99,2109.25,60,2109.5,78
2016-06-08 08:43:00,08:43:05,08:43:57,20573,20651,2109.25,60,2109.5,78,2109.5,2109.5,2109.25,2109.5,19,5,2109.25,74,2109.5,75
2016-06-08 08:44:00,08:44:07,08:44:59,20658,20728,2109.25,74,2109.5,80,2109.25,2109.5,2109.25,2109.25,17,-3,2109.25,74,2109.5,87
2016-06-08 08:45:00,08:45:00,08:45:35,20730,20908,2109.25,74,2109.5,86,2109.25,2109.25,2109.0,2109.25,115,-111,2109.0,80,2109.25,55
2016-06-08 08:46:00,08:46:02,08:46:51,21002,21118,2109.0,104,2109.25,36,2109.0,2109.25,2109.0,2109.0,17,-15,2109.0,74,2109.25,72
2016-06-08 08:47:00,08:47:00,08:47:48,21122,21465,2109.0,71,2109.25,73,2109.25,2109.25,2108.5,2108.75,242,-86,2108.5,101,2108.75,118
2016-06-08 08:48:00,08:48:01,08:48:48,21482,21529,2108.5,111,2108.75,118,2108.75,2108.75,2108.5,2108.5,22,4,2108.5,92,2108.75,116
2016-06-08 08:49:00,08:49:01,08:49:54,21546,21641,2108.5,92,2108.75,116,2108.5,2108.75,2108.5,2108.5,32,-26,2108.5,64,2108.75,118
2016-06-08 08:50:00,08:50:05,08:50:44,21655,21690,2108.5,71,2108.75,119,2108.75,2108.75,2108.75,2108.75,14,14,2108.5,77,2108.75,107
2016-06-08 08:51:00,08:51:02,08:51:54,21697,21760,2108.5,79,2108.75,106,2108.75,2108.75,2108.5,2108.5,23,-1,2108.5,52,2108.75,121
2016-06-08 08:52:00,08:52:00,08:52:51,21767,22073,2108.5,54,2108.75,121,2108.5,2108.5,2108.25,2108.5,121,-23,2108.25,105,2108.5,53
2016-06-08 08:53:00,08:53:03,08:53:54,22094,22334,2108.25,87,2108.5,90,2108.5,2108.75,2108.25,2108.25,135,15,2108.25,106,2108.5,32
2016-06-08 08:54:00,08:54:06,08:54:54,22343,22503,2108.25,107,2108.5,46,2108.5,2108.75,2108.5,2108.75,55,51,2108.5,33,2108.75,109
