,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-08-03 08:00:00,08:00:00,08:00:59,17705,19020,2151.75,42,2152.0,89,2152.0,2152.0,2151.75,2152.0,281,97,2151.75,80,2152.0,1
2016-08-03 08:01:00,08:01:02,08:01:58,19049,19597,2151.75,70,2152.0,43,2152.0,2152.0,2151.25,2151.25,156,-58,2151.25,130,2151.5,40
2016-08-03 08:02:00,08:02:04,08:02:41,19660,20096,2151.25,137,2151.5,29,2151.5,2151.5,2151.25,2151.5,106,-2,2151.25,142,2151.5,1
2016-08-03 08:03:00,08:03:00,08:03:55,20202,20592,2151.25,133,2151.5,41,2151.5,2151.75,2151.5,2151.75,85,23,2151.5,66,2151.75,77
2016-08-03 08:04:00,08:04:01,08:04:58,20614,20871,2151.5,67,2151.75,73,2151.5,2151.5,2151.25,2151.25,81,-37,2151.25,144,2151.5,48
2016-08-03 08:05:00,08:05:00,08:05:59,20878,21826,2151.25,147,2151.5,68,2151.25,2151.5,2150.75,2151.0,614,-168,2151.0,2,2151.25,88
2016-08-03 08:06:00,08:06:02,08:06:58,21900,22487,2150.75,139,2151.0,11,2151.0,2151.0,2150.75,2151.0,242,-118,2150.75,63,2151.0,43
2016-08-03 08:07:00,08:07:02,08:07:55,22541,22764,2150.75,54,2151.0,65,2150.75,2151.0,2150.75,2150.75,22,-10,2150.75,44,2151.0,90
2016-08-03 08:08:00,08:08:00,08:08:46,22773,23096,2150.75,44,2151.0,90,2150.75,2150.75,2150.5,2150.75,99,-77,2150.5,75,2150.75,73
2016-08-03 08:09:00,08:09:01,08:09:52,23133,23365,2150.5,119,2150.75,29,2150.75,2150.75,2150.5,2150.75,106,-22,2150.5,100,2150.75,111
2016-08-03 08:10:00,08:10:05,08:10:52,23387,23534,2150.5,95,2150.75,121,2150.5,2150.75,2150.5,2150.75,36,-24,2150.5,120,2150.75,116
2016-08-03 08:11:00,08:11:00,08:11:56,23541,24143,2150.5,121,2150.75,119,2150.75,2150.75,2150.25,2150.75,455,-43,2150.5,66,2150.75,50
2016-08-03 08:12:00,08:12:00,08:12:56,24147,24355,2150.5,67,2150.75,50,2150.75,2151.0,2150.5,2150.75,67,55,2150.75,57,2151.0,82
2016-08-03 08:13:00,08:13:00,08:13:56,24362,24505,2150.75,55,2151.0,82,2151.0,2151.0,2150.75,2151.0,25,19,2150.75,57,2151.0,86
2016-08-03 08:14:00,08:14:00,08:14:51,24545,24783,2150.75,64,2151.0,87,2151.0,2151.25,2150.75,2151.25,111,69,2151.0,76,2151.25,111
2016-08-03 08:15:00,08:15:00,08:15:33,24815,24963,2151.0,81,2151.25,121,2151.0,2151.0,2150.75,2150.75,71,-69,2150.75,55,2151.0,65
2016-08-03 08:16:00,08:16:02,08:16:49,25035,25188,2150.75,52,2151.0,81,2150.75,2151.0,2150.75,2150.75,45,-1,2150.75,50,2151.0,86
2016-08-03 08:17:00,08:17:04,08:17:20,25200,25389,2150.75,56,2151.0,88,2150.75,2151.0,2150.75,2151.0,95,37,2150.75,66,2151.0,17
2016-08-03 08:18:00,08:18:02,08:18:56,25463,25639,2150.75,63,2151.0,76,2150.75,2151.25,2150.75,2151.25,83,59,2151.0,54,2151.25,99
2016-08-03 08:19:00,08:19:00,08:19:48,25649,26067,2151.0,63,2151.25,103,2151.25,2151.25,2151.0,2151.0,171,-13,2150.75,94,2151.25,111
2016-08-03 08:20:00,08:20:04,08:20:52,26126,26474,2150.75,66,2151.0,51,2150.75,2151.0,2150.75,2151.0,191,-19,2151.0,134,2151.25,115
2016-08-03 08:21:00,08:21:00,08:21:56,26535,26664,2151.0,161,2151.25,93,2151.25,2151.25,2151.25,2151.25,20,20,2151.0,169,2151.25,60
2016-08-03 08:22:00,08:22:17,08:22:59,26709,26903,2151.0,170,2151.25,62,2151.0,2151.25,2151.0,2151.25,134,102,2151.0,186,2151.25,1
2016-08-03 08:23:00,08:23:00,08:23:57,26911,27685,2151.0,177,2151.25,5,2151.25,2152.0,2151.0,2151.75,440,172,2151.5,132,2151.75,6
2016-08-03 08:24:00,08:24:00,08:24:59,27711,27922,2151.5,71,2151.75,56,2151.5,2151.75,2151.5,2151.75,47,33,2151.5,93,2151.75,30
2016-08-03 08:25:00,08:25:01,08:25:52,27936,28261,2151.5,93,2151.75,10,2151.75,2151.75,2151.5,2151.75,104,70,2151.5,99,2151.75,6
2016-08-03 08:26:00,08:26:05,08:26:46,28298,28503,2151.5,88,2151.75,45,2151.75,2151.75,2151.5,2151.75,62,52,2151.5,98,2152.0,105
2016-08-03 08:27:00,08:27:05,08:27:47,28578,28707,2151.5,87,2151.75,59,2151.75,2151.75,2151.5,2151.5,54,36,2151.5,69,2151.75,56
2016-08-03 08:28:00,08:28:03,08:28:57,28740,29035,2151.5,59,2151.75,68,2151.5,2151.5,2151.25,2151.25,126,-58,2151.25,71,2151.5,58
